TP_FUNDO;CNPJ_FUNDO;DT_COMPTC;VL_TOTAL;VL_QUOTA;VL_PATRIM_LIQ;CAPTC_DIA;RESG_DIA;NR_COTST
FI;00.017.024/0001-53;2023-07-03;1093747.14;32.604175800000;1099719.03;0.00;0.00;1
FI;00.068.305/0001-35;2023-07-03;37846175.93;33.419397000000;37831838.88;0.00;999.13;6139
FI;00.071.477/0001-68;2023-07-03;2418509461.56;11.996780050000;2418336836.93;1433910.36;8366544.22;52837
FI;00.073.041/0001-08;2023-07-03;12189060.39;35.219735400000;12178116.27;0.00;10020.56;806
FI;00.089.915/0001-15;2023-07-03;17622948.51;98.355382500000;17663896.04;0.00;0.03;115
FI;00.102.322/0001-41;2023-07-03;53302664.46;5.791439600000;55031644.97;0.00;0.00;1
FI;00.180.995/0001-10;2023-07-03;138341273.48;683.842901000000;138380206.59;34080.00;96082.03;819
FI;00.185.259/0001-54;2023-07-03;489313348.58;50.673438940000;488050613.29;0.00;0.00;106
FI;00.194.256/0001-87;2023-07-03;4772066143.48;59.429408340000;4771943387.99;16809082.98;5590317.02;35
FI;00.211.294/0001-09;2023-07-03;897952524.26;28.094468900000;897908542.61;58080099.32;0.00;16
FI;00.222.725/0001-24;2023-07-03;72852063.62;4529.512961500000;72754545.46;13000.00;221937.21;1026
FI;00.222.816/0001-60;2023-07-03;1257368537.65;9759.767809000000;1257433410.00;2489990.00;3377103.04;2049
FI;00.280.302/0001-60;2023-07-03;458755868.49;5990.151112200000;458590728.35;190700.00;1291431.31;2644
FI;00.306.278/0001-91;2023-07-03;1927427590.71;23.856515500000;1926279943.83;278415.81;1223790.74;5960
FI;00.322.699/0001-06;2023-07-03;2862695294.61;17.005834600000;2861710246.31;1243000.00;8716224.08;2928
FI;00.346.750/0001-10;2023-07-03;4329454.29;40.373944892700;4371012.86;0.00;0.00;81
FI;00.360.293/0001-18;2023-07-03;52570731.27;26.791542000000;52422861.00;33469.81;56474.44;3511
FI;00.398.561/0001-90;2023-07-03;64297932.70;196.535393100000;64213831.65;1660.72;34939.93;1644
